name,name_en,name_ar,tourism,amenity,shop,man_made,rooms,beds,addr_city,latitude,longitude
حمامات عفرا,Hammamat Afra Hot Springs,حمامات عفرا,attraction,,,,,,,30.9677296,35.6422421
Red Sand Dunes,Sand dune,,attraction,,,,,,,29.5289843,35.4216715
,,,attraction,,,,,,,29.5190095,35.4249193
Siq al Khazali,,الخزعلي,attraction,,,,,,,29.5179618,35.4234697
,Good Free Climb Area,,attraction,,,,,,,29.508952,35.4138825
Lawrence's House,Lawrence House,,attraction,,,,,,,29.5286207,35.4593101
Little Bridge,,,attraction,,,,,,,29.5204057,35.4430164
Siq Trail,Siq Trail,,attraction,,,,,,,29.4936227,35.4700933
فندق لانكستر شقق فندقية ضاحية الرشيد عمان اردن,,,attraction,,,,,,,32.0054073,35.8792195
,Al Hasany Sand dunes,,attraction,,,,,,,29.5484199,35.448852
,big dune,,attraction,,,,,,,29.5535407,35.4440717
Ancient inscriptions,,,attraction,,,,,,,29.5981198,35.4966813
Mushroom rock,,,attraction,,,,,,,29.7088108,35.4527848
cinema decorations,,,attraction,,,,,,,29.7271677,35.4729167
rock arch,,,attraction,,,,,,,29.8104195,35.4559887
المحافير,,,attraction,,,,,,,32.313319,35.8415792
Mineshaft,,,attraction,,,,,,,30.6395736,35.4905312
,Wadi Al-Nakheel,,attraction,,,,,,,30.6007128,35.54732
Rock carving,,,attraction,,,,,,,30.322003,35.4550561
Rock-carved shrine,,,attraction,,,,,,,30.3230981,35.4571429
Elephant or Fish in Siq canyon,,,attraction,,,,,,,30.3232094,35.4566675
Carmine Tomb,,,attraction,,,,,,,30.3314427,35.4523547
Al-Madras,,,attraction,,,,,,,30.32034,35.4620523
Bab al-Siq Triclinium,Bab al-Siq Triclinium - Obelisk Tomb,,attraction,,,,,,,30.3212234,35.4632816
Aqueduct Tunnel,,,attraction,,,,,,,30.3340273,35.4634739
Al-Wu'eira Fort,,,attraction,,,,,,,30.331172,35.466454
,Painted House,,attraction,,,,,,,30.3740065,35.4482735
,Triclinia,,attraction,,,,,,,30.3742003,35.4485834
الشجرة موقع قديم,,,attraction,,,,,,,32.3640519,36.4092749
البرغل رسم قديم,,,attraction,,,,,,,32.4275589,36.268815
الزيتات رسم قديم,,,attraction,,,,,,,32.3711081,36.240944
مقطع رجلين عبيد رسم قديم,,,attraction,,,,,,,32.4389056,36.2885942
Dead Sea Access - Free,,Dead Sea Access - Free,attraction,,,,,,,31.6008429,35.5608535
مكتبة الاستقلال,,مكتبة الاستقلال,attraction,,,,,,,31.957411,35.8663238
Bin Hammad Hot Spring Baths,,حمامات ابن حمّاد,attraction,,,,,,,31.3000442,35.6260388
بالقرب من التلول,,قاع حمزه,attraction,,,,,,,31.7323828,37.1079714
Mughar an-Nasara,,,attraction,,,,,,,30.3355375,35.4542056
Birds,,,attraction,,,,,,,30.6853658,35.5740166
وادي رم,Wadi Rum,وادي رم,attraction,,,,,,,29.5084443,35.3362154
Lawrence's Spring,,ابو عيينة,attraction,,,,,,,29.5597872,35.4101902
House of Lawrenze,,,attraction,,,,,,,29.5283318,35.4592858
Pella,Pella Ruins Visitor Center Entrance,,attraction,,,,,,,32.4497133,35.6106156
מעבר גבול - יצחק רבין,,,attraction,,,,,,,29.5751131,34.9781413
Jordan River Border Crossing,Jordan River Border Crossing,,attraction,,,,,,,32.4965261,35.5746966
Jeep drop off point for hiking to Petra back door.,,,attraction,,,,,,,30.3480132,35.4373554
Jeep boarding point for hike to Petra back door,,,attraction,,,,,,,30.3752076,35.4519142
Mussa Spring Hotel,Mussa Spring Hotel,,attraction,,,,,,Petra - Jordan,30.3243903,35.4976562
Turkmaniyya Tomb,,,attraction,,,,,,,30.3370273,35.4464948
,Church underground tunnels,,attraction,,,,,,,31.7148581,35.7936369
مقطع رجلين عبيد  رسم قديم,,,attraction,,,,,,,32.4378471,36.2928877
خربة ظالو,,,attraction,,,,,,,31.9782049,37.4420389
بنية الخضيري,,,attraction,,,,,,,32.4000829,36.3389574
Ammonite Watchtower,Ammonite Watchtower,,attraction,,,,,,,31.9577028,35.9045673
Dr. Qays Omari,Dr. Qays Omari,,attraction,,,,,,,32.0572428,35.8891533
Lora home,Lora home,,attraction,,,,,,,32.0331585,35.8704447
,Sea Level Point,,attraction,,,,,,,31.8420663,35.6966728
محل اميرة,,,attraction,,,,,,,31.9160406,35.8900561
rock arch,,,attraction,,,,,,,29.8092291,35.454775
منزل خليل القدومي وصهره فراس جانبه,,,attraction,,,,,,,31.966213,35.857795
,,,attraction,,,,,,,30.3289384,35.4415004
جبل النبي هارون,Jabal Harun,,attraction,,,,,,,30.316791,35.406715
Rock Bridge,,,attraction,,,,,,,29.4662743,35.3670716
,فحص,,attraction,,,,,,,31.9476565,35.8493438
,FREE PARKING,,attraction,,,,,,,31.1824625,35.7024626
برة السماعين,,,attraction,,,,,,,29.5743448,35.3763613
Barrah Canyon,,,attraction,,,,,,,29.5579957,35.4908995
,JHRC Train Adventure starting point,,attraction,,,,,,,29.6604122,35.4825429
Qasr el-Kithara,,,attraction,,,,,,,29.8006936,35.3167283
Sextius Florentinus Tomb,Sextius Florentinus Tomb,,attraction,,,,,,,30.3304155,35.450769
Silk Tomb,Silk Tomb,,attraction,,,,,,,30.3280388,35.4492607
Urn Tomb,Urn Tomb,,attraction,,,,,,,30.327551,35.449262
قصر عمرة‎,Quseir Amra,قصر عمرة,attraction,,,,,,,31.8018159,36.5875408
The Brazen Serpent Monument,,,attraction,,,,,,,31.7683053,35.7253544
Corinthian Tomb,Corinthian Tomb,,attraction,,,,,,,30.3285277,35.4495453
Palace Tomb,Palace Tomb,,attraction,,,,,,,30.3291065,35.4499137
נהריים בגשר,,,attraction,,,,,,,32.6230967,35.5634372
Atremis restaurant,,,attraction,fast_food,,,,,,32.2665593,35.8867455
Djinn Blocks,Djinn Blocks,,attraction,,,,,,,30.3221541,35.4642445
Nabatean rock inscriptions,Nabatean Rock Inscriptions,,attraction,,,,,,,29.55899,35.4115285
,Temple;Little Petra Siq,,attraction,,,,,,,30.3741588,35.4499308
Dolmen,,,attraction,,,,,,,32.2100695,36.0015458
Dolmen field,,,attraction,,,,,,,32.209649,36.0028927
Abu Mustafa House,,,attraction,,,,,,,32.5253247,35.8584967
,Free Access to Dead Sea,,attraction,,,,,,,31.4556972,35.5669938
